action_closedoors | Закрыть Все Двери
tiddlets_part4_debrief_artemis_b1 | Я думал, что Др. Свонсон был моим союзником. И я думал, что могу доверять вам. Но вы оба поставили деньги превыше всего остального. Я не знаю, как вы можете так жить.
tiddlets_part4_debrief_artemis_b2 | У вас есть последний шанс все исправить. Похоже, пара Тиддлетов оказалась на борту вместе с учеными, которых вы спасли. Два, вероятно, безопасно, но никогда не берите третьего на борт.
tiddlets_part4_debrief_artemis_b3 | Я предлагаю вам заботиться о них с этого момента, Капитан. Это не искупит то, что вы сделали, но это начало.
tiddlets_part4_debrief_artemis1 | Я пытался остановить его. Пытался предупредить его.
tiddlets_part4_debrief_artemis2 | Капитан, эти недавние события заставили меня пересмотреть мою роль во всем этом. Эти существа нуждаются в нашей защите. Им нужен кто-то, кто будет заботиться о них.
tiddlets_part4_debrief_swanson1 | Слава богу.
tiddlets_part4_debrief_swanson2 | Похоже, Скачковый Двигатель израсходовал все прыжковые заряды. Все кончено.
tiddlets_part4_objective_rescue | Спасти экипаж корабля-фермы
tiddlets_part4_objective_respond | Ответить на Сигнал Бедствия Свонсона
tiddlets_part4_random_swanson1 | О боже... они в продуктовых запасах!
tiddlets_part4_random_swanson2 | О боже... они в системе кондиционирования!
tiddlets_part4_random_swanson3 | О боже... они в реакторной комнате!
tiddlets_part4_random_tiddlet | фтфтффтфтфтфт
tiddlets_part4_rescue_swanson1 | Капитан, я не знаю, что произошло. Это Скачковый Двигатель. Мои инженеры сказали мне, что полностью проверили его!
tiddlets_part4_rescue_swanson2 | С ним что-то не так. Мы не можем прекратить прыжки. Они размножились... так много раз. Они ПОВСЮДУ!
tiddlets_part4_rescue_swanson3 | О боже. Их так много! Они в двигателях... в системе жизнеобеспечения... они почти в реак-
tiddlets_part4_rescue_swanson4 | Отойдите от этой консоли! Брысь!
tiddlets_part4_rescue_swanson5 | Вы должны помочь нам, Капитан.
tiddlets_part4_rescue_tiddlet1 | мммиииффффффффф
tiddlets_part4_rescue_tiddlet2 | скуиииииии
tiddlets_part4_title | Проблемы с Тиддлетами, Часть 4
tiddlets_shipname_artemis | Artemis Toppingbury
tiddlets_summary | Помочь Проф. Артемису Топпингбери с его исследованиями.
tiddlets3_summary | Помочь Институту с их экспериментами
toolsmenu_close | Закрыть
toolsmenu_dialogeditor | Редактор Диалогов
toolsmenu_spriteeditor | Редактор Спрайтов
toolsmenu_title | Меню Инструментов
trade_afford | ДОСТУПНО
trade_all | ВСЕ
trade_allitems | ВСЕ ПРЕДМЕТЫ
trade_autobuyat | ПОКУПАТЬ НИЖЕ
trade_automatic | АВТОТОРГОВЛЯ
trade_autosellat | ПРОДАВАТЬ ВЫШЕ
trade_autotrade | АВТОТОРГОВЛЯ
trade_autotradecancelled | ПОСЛЕДНИЙ ЗАКАЗ ОТМЕНЕН
trade_autotradedisabled | ОТКЛЮЧЕНО В МЕНЮ ЗАКАЗОВ
trade_boxed | Упаковано
trade_buy | КУПИТЬ
trade_buying | Покупка *X
trade_cancelautotrade | ОТМЕНИТЬ АВТОТОРГОВЛЮ
trade_cannot | НЕВОЗМОЖНО
trade_cannot_afford | НЕ ХВАТАЕТ СРЕДСТВ
trade_cash | Средства
trade_category_equipment | Оборудование
trade_category_reagent | Реагент
trade_category_resource | Ресурс
trade_component | Компонент
trade_confirm | ПОДТВЕРДИТЬ
trade_cost | Стоимость
trade_dangercivilians | Гражданские предлагают большие суммы, чем обычно, за безопасный транзит из сектора
trade_dangerdeflation | Цены на оборудование и экипаж ниже обычных из-за паники
trade_dangerproximity | Нехватка критических ресурсов привела к росту цен выше обычного
trade_enabled | ВКЛЮЧЕНО
trade_equipment_charge | - Заряд (на использование) : *X МВт
trade_equipment_powered | - С питанием
trade_equipment_rotatable | - Вращается
trade_equipment_size | - Размер *X x *Y
trade_estimatedvalue | РАСЧЕТНОЕ ЗНАЧЕНИЕ:
trade_neworder | НОВЫЙ ЗАКАЗ
trade_nextcollection | СЛЕДУЮЩИЙ ЧЕЛНОК ЧЕРЕЗ *Xс
trade_ourstock | У вас на борту *X
trade_overlay_boxed | [упаковано]
trade_overlay_price | ЦЕНА
trade_overlay_them | ОНИ
trade_overlay_you | ВЫ
trade_profit | Прибыль
trade_remove | УБРАТЬ
trade_sack | УВОЛИТЬ
trade_sacking | Увольнение *X
trade_sell | ПРОДАТЬ
trade_sell_ship | ПРОДАТЬ КОРАБЛЬ
trade_selling | Продажа *X
trade_showoutofstock | Показать Отсутствующие
trade_shuttleinbound | ЧЕЛНОК В ПУТИ
trade_stack | Стопка *X
trade_title | ТОРГОВЛЯ
trade_tooltip_add | [ЛКМ] Добавить
trade_tooltip_buy | [ЛКМ] Купить
trade_tooltip_cancel | [ПКМ] Отменить
trade_tooltip_cancelalltrade | [ПКМ] Отменить Все
trade_tooltip_canceltrade | [ЛКМ] Отменить
trade_tooltip_clear | [ПКМ] Очистить
trade_tooltip_control | [CTRL] Все
trade_tooltip_disableorder | [CTRL + ПКМ] Отключить
trade_tooltip_remove | [ПКМ] Убрать
trade_tooltip_remove_rmb | [ПКМ] Убрать
trade_tooltip_reset | [ПКМ] Сбросить
trade_tooltip_sack | [ЛКМ] Уволить
trade_tooltip_sell | [ЛКМ] Продать
trade_tooltip_shift | [SHIFT] x5
trade_transaction | *X: *Y
trade_waitingfor | Ожидание *X x *Y
trade_window_Components | Компоненты
trade_window_Crew | Экипаж
trade_window_Defense | Оборона
trade_window_Energy | Энергия
trade_window_Habitation | Выживание
trade_window_Industry | Производство
trade_window_Logistics | Логистика
trade_window_Propulsion | Движение
trade_window_Resources | Ресурсы
trade_window_Science | Наука
translationeditor_english_tooltip1 | Неформатированная английская фраза
translationeditor_english_tooltip2 | Форматированная английская фраза
translationeditor_english_tooltip3 | Это то, что вы переводите.
translationeditor_english_tooltip4 | Вы не можете изменить английские фразы.
translationeditor_folder | Открыть Папку
translationeditor_folder_tooltip | Открывает папку, в которой сохранены ваши измененные переводы.\n\n"language.csv" - это файл, содержащий ваши измененные переводы.
translationeditor_modified | Измененные Фразы
translationeditor_new_tooltip1 | Неформатированный новый перевод
translationeditor_new_tooltip2 | Форматированный новый перевод
translationeditor_new_tooltip3 | Здесь вы можете изменить перевод.\n\nЭто повлияет только на вашу игру, если вы не отправите обновленные переводы в Introversion.
translationeditor_original_tooltip1 | Неформатированный оригинальный перевод
translationeditor_original_tooltip2 | Форматированный оригинальный перевод
translationeditor_original_tooltip3 | Это то, что в настоящее время используется в игре.
translationeditor_reset | Вернуть
translationeditor_reset_tooltip | Сбрасывает ваш измененный перевод обратно к оригинальному переводу.
translationeditor_unmodified | Неизмененные Фразы
tutorial_air_title | КИСЛОРОД
tutorial_aircables | <b>ВОЗДУХОВОД</b> должен быть запитан от <b>РЕАКТОРА</b>.  Выберите <b>КАБЕЛИ</b> из меню <b>СТРОИТЕЛЬСТВО</b>.
tutorial_aircabletoreactor | Протяните силовой кабель от <b>РЕАКТОРА</b> к <b>ВОЗДУХОВОДУ</b>, соединив красные круги.\n\n<b>КАБЕЛИ</b> питания используются для подключения реакторов к любому оборудованию, которому нужна энергия.\n\n<b>КАБЕЛИ</b> питания красные и должны соединять красные круги на оборудовании.
tutorial_airdone | <b>ВОЗДУХОВОД</b> активирован и наполняет каюту давлением! Атмосфера скоро станет пригодной для дыхания.
tutorial_airinstallairduct | Теперь нам нужно обеспечить пригодную для дыхания атмосферу для нашего экипажа. Это делается с помощью <b>ВОЗДУХОВОДА</b>.\n\nУстановите <b>ВОЗДУХОВОД</b> где-нибудь рядом с Реактором.
tutorial_airinstallairloader | <b>ВОЗДУХОВОДУ</b> нужен <b>КИСЛОРОД</b>, так же как <b>РЕАКТОРУ</b> нужно <b>ТОПЛИВО</b>. Мы можем использовать <b>ПОГРУЗЧИК КИСЛОРОДА</b> для подачи <b>КИСЛОРОДА</b>.\n\nУстановите <b>ПОГРУЗЧИК КИСЛОРОДА</b> рядом с <b>ВОЗДУХОВОДОМ</b>.
tutorial_airpipes | Нам нужно подключить <b>ПОГРУЗЧИК КИСЛОРОДА</b> к <b>ВОЗДУХОВОДУ</b> с помощью <b>ТРУБ</b>.\n\nВыберите <b>ТРУБЫ</b> из меню <b>СТРОИТЕЛЬСТВО</b>.
tutorial_airpipetoairduct | Протяните <b>ТРУБУ</b> от <b>ПОГРУЗЧИКА КИСЛОРОДА</b> к <b>ВОЗДУХОВОДУ</b>, соединив <b>СИНИЕ</b> круги.
tutorial_battlestations_title | БОЕВОЙ РЕЖИМ
tutorial_battlestationsactivate | <b>БОЕВОЙ РЕЖИМ</b> должен быть активирован, прежде чем вы сможете использовать оружие.\n\nЭто даст команду вашему экипажу приготовиться к бою!
tutorial_battlestationshighlightcrew | Ваш экипаж побежит к оружию, чтобы активировать его.\n\nПулеметы не требуют экипажа для их активации.
tutorial_battlestationshighlightguns | Стволы орудий начнут выдвигаться, когда они прибудут.\n\nКогда стволы полностью выдвинутся, они будут готовы к стрельбе!
tutorial_battlestationsstart | Теперь мы научимся активировать наше оружие для боя.\n\nИгра приостановлена на данный момент.
tutorial_battlestationssuccess | Отлично, ваше оружие теперь успешно активировано для боя!
tutorial_buy_shiftclick | <b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для покупки кратно 5.
tutorial_buyship_title | ПОКУПКА КОРАБЛЕЙ
tutorial_buyshipbuy | Нажмите на кнопку <b>КУПИТЬ</b>, чтобы приобрести <b>JMC MINING STATION</b>.
tutorial_buyshipinspect | Нажмите на <b>JMC MINING STATION</b>, старую неиспользуемую промышленную станцию на продажу.
tutorial_buyshipstart | Теперь мы научимся выбирать и покупать корабли.
tutorial_buyshipsuccess | Отлично, вы приобрели <b>JMC MINING STATION</b>.
tutorial_camera_title | УПРАВЛЕНИЕ КАМЕРОЙ
tutorial_cameracontrols | Используйте <b>{PanUp1}{PanLeft1}{PanDown1}{PanRight1}</b> или <b>КЛАВИШИ СТРЕЛОК</b> для перемещения камеры.\n\nИзмените масштаб с помощью <b>КОЛЕСА МЫШИ</b> или клавиш <b>{ZoomIn}</b>/<b>{ZoomOut}</b> на клавиатуре.\n\nПеретаскивайте камеру, удерживая <b>СРЕДНЮЮ КНОПКУ МЫШИ</b>.
tutorial_combat_title | БОЙ
tutorial_combatbattlestations | Эффект <b>ЭМИ</b> проходит!\n\nАктивируйте оружие и подготовьте экипаж к бою, нажав на <b>БОЕВОЙ РЕЖИМ</b>.
tutorial_combatkeepmoving | Обязательно продолжайте движение во время боя, это увеличивает ваше <b>УКЛОНЕНИЕ</b> и делает вас более сложной целью для попадания.
tutorial_combatopenweaponscontrol | Откройте панель управления оружием.
tutorial_combatrange | Вы можете увидеть радиус действия оружия, наведя на него курсор. Оружие будет стрелять по вражеским кораблям в пределах своего радиуса.
tutorial_combatselectcannon | Ваши орудия также могут нацеливаться на конкретные точки на вражеских кораблях.\n\nСначала выберите, какие орудия вы хотите использовать.\n\nВы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для выбора нескольких орудий.
tutorial_combatselecttarget | Нацельтесь на их оружейные системы, чтобы они не могли нанести вам дальнейший урон.
tutorial_combatstart | Теперь мы изучим основные приемы боя.
tutorial_combatsuccess | Отлично. Вы научились использовать оружие. Теперь огонь по усмотрению по пиратскому кораблю!
tutorial_combatswitchtotacticalview | Переключитесь на режим тактика.
tutorial_docking_title | СТЫКОВКА
tutorial_dockingapproachship_x | Используйте основные двигатели корабля, чтобы приблизиться к *X.
tutorial_dockingcheckthrusters | Чтобы успешно пристыковаться, вашему кораблю нужно как минимум четыре рабочих <b>МАНЕВРОВЫХ ДВИГАТЕЛЯ</b>.\n\nИспользуйте другой корабль или купите и установите четыре маневровых двигателя на ближайшем торговом посту.
tutorial_dockingmaneuver | Используйте <b>МАНЕВРОВЫЕ ДВИГАТЕЛИ</b> для маневрирования вашим кораблем так, чтобы <b>КРАСНЫЕ</b> ромбы ваших стыковочных портов совпали со стыковочным портом *X.\n\nПри правильном выравнивании они оба станут <b>ЖЕЛТЫМИ</b>.\n\nУдерживайте корабли выровненными, пока стыковочный мост полностью не выдвинется.
tutorial_dockingmaneuverkeys | Используйте элементы управления маневрированием, чтобы переместить корабль в нужную позицию.\n\nВы также можете использовать клавиши <b>{ManoeuvreUp}</b>, <b>{ManoeuvreLeft}</b>, <b>{ManoeuvreDown}</b>, <b>{ManoeuvreRight}</b> для движения и <b>{ManoeuvreClockwise}</b> и <b>{ManoeuvreCounterClockwise}</b> для поворота корабля.
tutorial_dockingopenmaneuver | Откройте элементы управления <b>МАНЕВРОВЫМИ ДВИГАТЕЛЯМИ</b>.
tutorial_dockingstart | Теперь мы научимся стыковать ваш корабль с другим кораблем.
tutorial_dockingsuccess | Отлично. Вы успешно состыковались!
tutorial_dockingswitchtotactical | Для начала переключитесь в режим <b>ТАКТИКА</b>, нажав на кнопку или клавишу <b>{ToggleTactical}</b>.
tutorial_dockingzoomin | Увеличьте масштаб, чтобы лучше видеть направляющие стыковки. Это <b>КРАСНЫЕ</b> ромбы, исходящие от стыковочных портов.
tutorial_dsiclicktodismantle | Любое оборудование можно демонтировать левым кликом.
tutorial_dsiclosedismantle | Мы можем прекратить демонтаж, снова нажав на кнопку демонтажа или закрыв меню строительства.\n\nЗакройте меню, нажав кнопку <b>СТРОИТЕЛЬСТВО</b> или клавишу <b>ESC</b>.
tutorial_dsidismantle | Демонтаж оборудования убирает его с вашего корабля и упаковывает, чтобы вы могли установить его позже.
tutorial_dsidismantletitle | ДЕМОНТАЖ
tutorial_dsihighlightruinedequipment | Это оборудование разрушено, поэтому при демонтаже вы получите металлолом.
tutorial_dsihighlightsmelter | Давайте используем металлолом для производства железных слитков в плавильной печи. Щелкните правой кнопкой мыши по плавильной печи.
tutorial_dsisetrecipe | Щелчок правой кнопкой мыши по оборудованию позволяет установить рецепты. Установите рецепт плавильной печи на металлолом.
tutorial_dsisetupdone | Плавильная печь теперь начнет производить железные слитки после того, как закончит разогреваться.
tutorial_dsismelterrecipes | РЕЦЕПТЫ
tutorial_end_title | КОНЕЦ ОБУЧЕНИЯ
tutorial_engines_title | ДВИГАТЕЛИ
tutorial_enginesconnectpipes | Давайте начнем с правого двигателя. Используйте меню труб, чтобы провести трубу от двигателя к вашим существующим желтым топливным линиям.
tutorial_enginesconnectpower | Теперь используйте меню <b>КАБЕЛИ</b>, чтобы запитать двигатель, подключив его к вашим существующим красным линиям питания.
tutorial_enginesinformation | Двигателям требуется и <b>ЭНЕРГИЯ</b>, и <b>ТОПЛИВО</b> для работы. Мы должны подключить оба двигателя к топливу и энергии.
tutorial_enginesintro | На корабле установлены два заводских двигателя, готовых к работе, но нам нужно их подключить.
tutorial_enginesoperational | Оба наших двигателя теперь работают.
tutorial_enginesportside | Теперь повторите процесс с левым двигателем. Подключите топливные и энергетические линии, чтобы запустить двигатель.
tutorial_enginesstarboardside | Фантастическая работа! Правый двигатель теперь запускается.
tutorial_fabrication_title | ПРОИЗВОДСТВО
tutorial_fabricationclosefab1 | Закройте панель оборудования, нажав на X в правом верхнем углу или клавишу <b>ESC</b>.
tutorial_fabricationclosefab2 | Закройте панель оборудования, нажав на X в правом верхнем углу или клавишу <b>ESC</b>.
tutorial_fabricationconfigureass1 | Нам нужно настроить <b>СБОРОЧНЫЙ СТОЛ</b> таким же образом.\n\nЩелкните <b>ПРАВОЙ КНОПКОЙ МЫШИ</b> по сборочному столу.
tutorial_fabricationconfigureass2 | Выберите <b>РАМА ЗВЕЗДНЫХ ВРАТ</b> из выпадающего меню.
tutorial_fabricationconfigurefab1 | Нам нужно настроить новое оборудование для производства продуктов, которые нам нужны.\n\nЩелкните <b>ПРАВОЙ КНОПКОЙ МЫШИ</b> по <b>ФАБРИКАТОРУ</b>, чтобы настроить его.
tutorial_fabricationconfigurefab2 | Это выпадающее меню показывает все компоненты, которые мы можем производить в <b>ФАБРИКАТОРЕ</b>.\n\nВыберите <b>РАМА</b> из списка.
tutorial_fabricationinstallassemblytable | Затем эти компоненты собираются в готовую продукцию на <b>СБОРОЧНОМ СТОЛЕ</b>.\n\nУстановите <b>СБОРОЧНЫЙ СТОЛ</b> где-нибудь рядом с <b>ФАБРИКАТОРОМ</b>.
tutorial_fabricationinstallfabricator | Компоненты производятся в <b>ФАБРИКАТОРЕ</b> с использованием сырья, такого как <b>ЖЕЛЕЗНЫЕ СЛИТКИ</b>.\n\nУстановите <b>ФАБРИКАТОР</b> где-нибудь в юго-восточном квадранте станции.
tutorial_fabricationpower | Этому новому оборудованию нужна энергия.  Постройте <b>КАБЕЛИ ПИТАНИЯ</b>, чтобы подключить ваш <b>РЕАКТОР</b> к <b>ФАБРИКАТОРУ</b> и <b>СБОРОЧНОМУ СТОЛУ</b>.
tutorial_fabricationworking | Ваш экипаж теперь производит <b>РАМЫ</b> из <b>ЖЕЛЕЗНЫХ СЛИТКОВ</b>, затем собирает эти <b>РАМЫ</b> в <b>РАМЫ ЗВЕЗДНЫХ ВРАТ</b>, которые мы можем продать проекту <b>ЗВЕЗДНЫЕ ВРАТА</b> с прибылью.
tutorial_finance_title | КОНТРАКТЫ
tutorial_financearrived | Мы прибыли в систему назначения.
tutorial_financeassigntransport | Эта миссия требует от нас перевезти группу людей отсюда в другое место в секторе.\n\nНажмите кнопку принять, чтобы назначить этот контракт кораблю <b>PROCYON</b>.
tutorial_financeclosesectormap | Закройте <b>КАРТУ СЕКТОРА</b>, нажав на X в правом верхнем углу или клавишу <b>ESC</b>.
tutorial_financeftlwindow | Откройте экран <b>ГИПЕРДВИГАТЕЛЬ</b>, чтобы заказать <b>ГИПЕРПРЫЖОК</b>.
tutorial_financehyperspace | Мы в гиперпространстве!
tutorial_financejump | Нажмите кнопку <b>ПРЫЖОК</b>, чтобы прыгнуть в гиперпространство.
tutorial_financemissioncomplete | Все пассажиры благополучно прибыли. Теперь вам будет выплачена плата, и вы также получите очки к вашему гуманитарному рейтингу - давая вам доступ к более сложным и прибыльным миссиям.
tutorial_financemissionscreen | Теперь, когда наш корабль работает, нам нужно зарабатывать на жизнь.  Мы можем выполнять контракты за финансовое вознаграждение и репутацию.\n\nОткройте экран <b>КОНТРАКТЫ</b>, чтобы увидеть список доступных контрактов.
tutorial_financepassengersinbound | Пассажиры будут доставлены на <b>PROCYON</b> челноком.
tutorial_financepreparejump | Нажмите на <b>ПОДГОТОВИТЬ ПРЫЖОК</b>, чтобы выровнять корабль и подготовиться к гиперпространству.
tutorial_financepreparingjump | <b>PROCYON</b> выровняется для гиперпространства и подготовит <b>ГИПЕРДВИГАТЕЛЬ</b> для совершения прыжка.
tutorial_financesectormap | Все пассажиры доставлены на <b>PROCYON</b>, и наш <b>ГИПЕРДВИГАТЕЛЬ</b> работает. Теперь мы должны проложить <b>ГИПЕРПРЫЖОК</b> к их месту назначения.\n\nОткройте <b>КАРТУ СЕКТОРА</b>.
tutorial_financeselectmission | Теперь нам нужно сдать наш выполненный контракт на пассажиров.\n\nОткройте экран <b>КОНТРАКТЫ</b> и выберите миссию с пассажирами.
tutorial_financeselectship | Контракты назначаются кораблю, который вы выбрали в данный момент.\n\nТолько <b>PROCYON</b> может перемещаться между локациями, поэтому выберите <b>PROCYON</b>.
tutorial_financeselecttransport | Здесь у нас контракт <b>ПЕРЕВОЗКА</b>, щелкните по нему, чтобы увидеть подробности.
tutorial_financesetdestination | Это карта всех систем в этом секторе.\n\nНаш корабль и наша космическая станция расположены в центре, где на карте отмечено <b>ВЫ-ЗДЕСЬ</b>.\n\nПроложите курс к месту назначения (помечено как <b>ПЕРЕВОЗКА</b>), щелкнув по нему.
tutorial_financeturnin | Нажмите кнопку <b>ДОСТАВИТЬ</b>, чтобы высадить пассажиров и получить оплату
tutorial_financeturningin | Челнок будет отправлен для сбора пассажиров.
tutorial_fleetcrew | Нам понадобится экипаж. Наймите пять <b>ЧЛЕНОВ ЭКИПАЖА</b> через экран <b>ТОРГОВЛЯ</b>.
tutorial_fleetcrew_shiftclick | <b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для найма кратно 5.
tutorial_fleetcrewarrival | Ваш новый экипаж прибудет на челноке.
tutorial_fleetresources | Нам также нужны ресурсы для работы корабля.\n\nИспользуйте экран <b>ТОРГОВЛЯ</b>, чтобы купить:\n- 5x <b>ТОПЛИВО</b>\n- 5x <b>КИСЛОРОД</b>\n- 5x <b>ГИПЕРТОПЛИВО</b>\n- 2x <b>ЕДА</b>\n- 2x <b>ВОДА</b>.\n\n<b>ПОДТВЕРДИТЕ</b> сделку, когда закончите.
tutorial_fleetspacesuits | Этому экипажу также понадобятся <b>КОСМИЧЕСКИЕ СКАФАНДРЫ</b>, так как на нашем корабле пока нет атмосферы.\n\nЗакажите пять <b>КОСМИЧЕСКИХ СКАФАНДРОВ</b> для нового экипажа.
tutorial_fleettrade | Корабль оснащен двигателями и <b>ГИПЕРДВИГАТЕЛЕМ</b> для межзвездных путешествий! Но ему нужен экипаж.\n\nОткройте экран <b>ТОРГОВЛЯ</b>.
tutorial_fleettradeconfirm | <b>ПОДТВЕРДИТЕ</b> сделку.
tutorial_fleetwaitforpowerup | Ваш экипаж теперь запустит корабль и запустит двигатели и систему жизнеобеспечения.
tutorial_flight_title | ПОЛЕТ
tutorial_flightengines | Мы можем напрямую управлять <b>ТЯГОЙ ДВИГАТЕЛЯ</b> отсюда.\n\nПопробуйте увеличить тягу двигателя с помощью этого элемента управления.
tutorial_flightexittactical | Выйдите из режима <b>ТАКТИКА</b>, снова нажав на кнопку или клавишу <b>{ToggleTactical}</b>.
tutorial_flightinformation | Ваш экипаж будет продолжать управлять кораблем и поддерживать работу двигателей, пока вы путешествуете. Попробуйте полетать по системе, пока не освоитесь с управлением.\n\nКогда будете готовы, остановите корабль, установив <b>ТЯГУ ДВИГАТЕЛЯ</b> на ноль в <b>ТАКТИЧЕСКОМ</b> режиме.
tutorial_flightsetcourse | Мы можем отправить наш корабль в определенное место, <b>ЩЕЛКНУВ ПРАВОЙ КНОПКОЙ МЫШИ</b>. Попробуйте установить пункт назначения, щелкнув правой кнопкой мыши в тактическом режиме.
tutorial_flighttactical | Нам следует провести небольшой испытательный полет двигателей.  Для маневрирования кораблем переключитесь в режим <b>ТАКТИКА</b>, нажав на выделенную кнопку или клавишу <b>{ToggleTactical}</b>.
tutorial_flightturning | Мы также можем поворачивать корабль, щелкая левой кнопкой мыши в <b>ТАКТИЧЕСКОМ</b> режиме в направлении, в котором хотим двигаться.
tutorial_ftl_title | БЫСТРЕЕ СВЕТА
tutorial_ftladdftldrive | Добавьте один <b>ГИПЕРДВИГАТЕЛЬ</b> в наш заказ, щелкнув по записи в списке.
tutorial_ftladdftlfuel | <b>ГИПЕРДВИГАТЕЛИ</b> расходуют одну единицу топлива за прыжок. Добавьте 5 <b>ГИПЕРТОПЛИВА</b> к заказу также.
tutorial_ftlconfirmorder | Подтвердите заказ.
tutorial_ftldelivery | Челнок доставит нам предметы.
tutorial_ftlinstallftl | Установите <b>ГИПЕРДВИГАТЕЛЬ</b> в любом месте вашего корабля.
tutorial_ftlintro | Мы не можем доставить этих пассажиров к месту назначения без путешествия быстрее света. К сожалению, этот корабль не оснащен собственным <b>ГИПЕРДВИГАТЕЛЕМ</b>.\n\nНам нужно купить его и установить.
tutorial_ftlpowerftl | Подключите <b>ГИПЕРДВИГАТЕЛЬ</b> к вашей энергосети.
tutorial_ftlselectpropulsion | Предметы, которые нам нужны, перечислены в разделе <b>ДВИЖЕНИЕ</b>. Выберите эту категорию.
tutorial_ftlstoragedone | Экипаж переместит все <b>ГИПЕРТОПЛИВО</b> в эту зону.
tutorial_ftlstoragetoolbar | Мы можем сделать работу более эффективной для нашего экипажа, сказав им хранить <b>ГИПЕРТОПЛИВО</b> рядом с <b>ГИПЕРДВИГАТЕЛЕМ</b>.\n\nВыберите <b>ХРАНИЛИЩЕ</b> на панели инструментов <b>СТРОИТЕЛЬСТВО</b>, затем выберите <b>ГИПЕРТОПЛИВО</b> из списка.
tutorial_ftlstorageworld | Теперь растяните зону хранения рядом с <b>ГИПЕРДВИГАТЕЛЕМ</b>.
tutorial_ftltradescreen | Откройте экран торговли, чтобы купить <b>ГИПЕРДВИГАТЕЛЬ</b>.
tutorial_introduction_title | ОБУЧЕНИЕ
tutorial_introduction1 | Добро пожаловать в наш новый дом.
tutorial_introduction2 | Этот корабль только что сошел с производственной линии верфи.\n\nСейчас это просто пустой корпус без энергии и пригодной для дыхания атмосферы. Наша первая задача - исправить это.\n\nНажмите <b>ДАЛЕЕ</b>, чтобы продолжить.
tutorial_logistics_crew_title | ЛОГИСТИКА ЭКИПАЖА
tutorial_logisticscrewclicktarget | Щелкните в ячейке <b>ЭКИПАЖ</b> корабля <b>НАЗНАЧЕНИЕ</b>, чтобы запросить перевод 5 членов экипажа.
tutorial_logisticscrewclicktarget_shiftclick | <b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для запроса перевода кратно 5.
tutorial_logisticscrewopen | Откройте окно Логистики Флота.
tutorial_logisticscrewselectfrom | Выберите корабль <b>ИСТОЧНИК</b>, с которого прибудет экипаж.
tutorial_logisticscrewselectship | Выберите <b>UMC</b> Astral Temptress. \n\n Как вы можете видеть, у него нет экипажа.
tutorial_logisticscrewstart | Теперь мы научимся переводить экипаж с одного корабля на другой.\n\nДва корабля должны быть состыкованы, чтобы экипаж мог переходить с одного корабля на другой.
tutorial_logisticscrewsuccess | Отлично. Вы успешно перевели экипаж!
tutorial_logisticscrewswitchtonormalview | Сначала вернитесь в обычный режим, выйдя из тактического режима.
tutorial_logisticscrewwait | Отлично. Теперь нам просто нужно дождаться перевода экипажа.
tutorial_mining_title | ДОБЫЧА
tutorial_miningfleetorders | Вам также нужно убедиться, что <b>СОБИРАТЬ МАТЕРИАЛЫ</b> включено в <b>ПРИКАЗАХ ФЛОТА</b>.
tutorial_miningflytodeposit | В этой системе, похоже, есть астероиды, содержащие Тилиевую Руду, подлетите близко к одному из них.
tutorial_miningflytosystem | Посмотрите на камни на карте, они указывают на <b>ПОЯСА АСТЕРОИДОВ</b>. \n\nПолетите в систему в поясе астероидов, она, вероятно, содержит Тилиевую Руду.
tutorial_mininggetinrange | Переместите свой корабль, пока месторождение минералов не окажется в секторе обстрела.
tutorial_mininginstalldronebay | Дроны будут собирать добытые ресурсы.\n\nУстановите <b>ОТСЕК ДЛЯ ДРОНОВ</b>, чтобы ваши дроны могли собирать Тилиевую Руду.
tutorial_mininginstalllaser | Вам понадобится Шахтерский Лазер. Они потребляют много энергии, поэтому подумайте об установке дополнительных реакторов или батарей.\n\nУстановите <b>ШАХТЕРСКИЙ ЛАЗЕР</b> и подключите его к энергосети.
tutorial_mininginstallsmelter | Вам нужно будет переплавить сырую Тилиевую Руду в кристаллы.\n\nУстановите <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b>.
tutorial_miningopenmap | Теперь откройте карту сектора (<b>{ToggleMap}</b>).
tutorial_miningopenweaponscontrol | Откройте панель управления оружием.
tutorial_miningrange | Вы можете увидеть радиус действия шахтерских лазеров, наведя на них курсор. Шахтерские лазеры будут стрелять по месторождениям минералов в их секторе обстрела.
tutorial_miningselectlaser | Вы также можете нацеливаться на конкретные месторождения минералов.\n\nСначала выберите, какой лазер вы хотите использовать.\n\nВы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для выбора нескольких лазеров.
tutorial_miningselecttarget | Нацельтесь на месторождение Тилиевой Руды, щелкнув по нему при выбранном шахтерском лазере.
